SENTTOT,SENSPLT0,DISTRICT,MONSEX,OFFGUIDE,SENTRNGE,XCRHISSR
324,324,40,0,21,0,1
6,6,70,0,17,3,4
,0,22,0,30,0,1
27,27,70,0,17,0,6
12.03,12.03,70,0,17,3,3
2.2,2.2,42,0,17,0,1
0.03,0.03,70,0,17,0,1
13.03,13.03,70,0,17,3,3
6,6,70,0,17,3,2
120,120,68,0,7,0,3
10,10,70,0,17,3,4
87,87,68,0,10,0,2
4.4,4.4,70,0,17,0,1
180,180,68,0,10,2,1
3.94,3.94,70,1,17,3,1
120,120,89,0,7,0,1
2.2,2.2,42,0,17,0,1
360,360,85,0,27,4,1
37,37,70,0,13,0,1
18,18,70,0,17,3,4
,0,12,0,16,0,1
24,24,67,0,13,0,2
160,160,47,0,10,0,6
6,6,70,0,17,3,3
4,4,70,0,17,3,2
30,30,24,0,10,0,4
0.99,6.99,70,0,10,3,4
,0,70,0,17,3,2
0.03,0.03,12,0,10,2,1
72,72,80,1,10,2,3
8,8,39,0,10,8,1
48,48,30,1,5,2,1
51,51,12,0,10,8,1
60,60,80,1,10,2,1
5,5,70,0,17,3,3
9,9,42,0,17,0,1
12,12,70,0,17,3,2
24,24,70,0,16,8,1
72,72,4,0,10,0,2
16,16,70,0,17,3,3
8,8,70,0,17,3,4
72,72,67,0,16,5,1
0.03,0.03,70,0,13,8,1
,0,74,0,16,2,1
180,180,30,0,13,0,6
4.43,4.43,70,0,17,0,1
18,18,70,0,10,3,1
12,12,42,0,5,8,1
6,6,70,0,17,3,2
10,10,70,0,17,3,4
6,6,41,0,17,0,1
7,7,42,0,17,8,6
,0,20,0,16,8,1
24,24,70,0,17,3,5
0.03,0.03,12,0,13,7,3
259,259,49,0,10,2,6
60,60,20,0,10,0,3
48,48,30,0,13,0,2
,0,47,1,10,0,1
29,29,12,0,10,7,6
6,6,41,0,17,0,1
12.03,12.03,39,0,24,8,2
68,68,13,0,10,7,3
154,154,13,0,26,0,4
60,60,34,1,10,7,1
64,64,34,0,16,8,1
63,63,34,1,10,0,2
107,107,70,0,4,1,2
,1,22,1,30,0,1
150,150,48,0,10,8,2
7,7,70,0,17,3,2
80,80,24,0,10,0,2
,24,12,1,1,7,3
15,15,70,0,17,3,4
12,12,56,0,17,0,2
,4,73,1,29,2,1
18,18,70,0,17,3,6
26.61,26.61,70,0,24,0,3
188,188,17,0,13,0,6
9,9,41,0,17,0,2
2.92,2.92,70,0,17,0,1
15,15,88,0,10,7,2
84,84,70,0,7,7,1
6,6,70,0,17,3,3
6,6,70,0,17,3,2
6,6,70,0,17,3,2
,0,46,0,11,2,1
8,8,70,0,17,3,3
0.03,0.03,41,0,17,3,1
3.84,3.84,70,0,17,3,2
2.96,2.96,70,0,17,0,1
8,8,41,0,17,0,2
14.85,14.85,88,0,21,7,3
3.56,3.56,42,0,17,0,1
240,240,31,0,19,0,6
,0,88,0,10,7,6
70,70,31,1,10,0,1
2.6,2.6,70,0,17,0,1
6,6,70,0,17,3,1
0.03,0.03,31,0,17,0,1
2.03,2.03,47,0,17,0,2
78,78,31,0,10,8,1
48,48,70,0,10,7,2
26,26,13,0,10,2,6
7,7,70,0,17,3,2
6.16,6.16,42,0,17,0,1
292,292,9,0,27,8,4
120,120,70,0,27,8,1
15,15,72,1,16,8,1
3.38,3.38,70,0,17,0,2
,0,88,0,10,7,6
15,15,72,1,16,8,1
4.7,4.7,70,1,17,3,1
52,52,36,0,16,0,1
21.52,21.52,41,0,16,0,3
96,96,2,0,21,8,3
24,24,39,0,16,0,3
8,8,74,0,17,3,1
60,60,17,1,10,0,1
24,24,74,0,17,0,6
13.03,13.03,74,0,17,3,3
10,10,70,1,13,0,1
3,3,41,0,29,2,1
3.94,3.94,74,0,17,4,3
7,7,70,0,17,3,3
1.59,1.59,88,0,17,3,1
20,20,36,0,16,2,1
,0,70,0,13,8,1
27,27,47,0,10,8,1
6,6,70,0,17,3,3
12,12,41,0,17,0,2
54,54,41,1,10,2,6
,0,72,0,10,8,1
21,21,84,0,17,3,3
10,10,41,0,17,0,3
4,4,70,0,17,3,3
16,16,74,0,17,3,3
20,20,87,0,13,2,5
0.03,0.03,40,0,30,8,1
11.23,11.23,4,0,17,0,2
10,10,74,0,16,0,1
4.56,4.56,70,0,17,0,1
6,6,70,1,17,3,1
120,120,87,0,10,8,1
4,4,84,0,17,3,3
20.95,20.95,42,0,17,0,1
240,240,66,0,10,8,6
10.2,10.2,41,0,17,7,3
120,120,66,0,10,2,6
240,240,66,0,27,8,1
37,37,84,0,10,2,2
60,60,40,0,17,6,2
20,20,35,0,1,6,1
132,132,67,0,10,0,6
84,84,30,0,17,6,3
6,6,84,0,17,3,3
46,46,13,0,26,8,3
57,57,40,0,10,0,1
135,135,40,0,10,8,1
60,60,51,1,10,0,1
48,48,84,1,10,7,1
8,8,84,0,17,3,2
10,10,70,0,17,0,2
135,135,40,0,10,0,3
42,42,70,0,10,8,1
60,60,80,0,13,7,6
107,107,45,0,10,0,6
24,24,12,0,10,2,1
33,33,84,1,17,3,5
57,57,78,1,10,8,4
6,6,70,0,17,3,3
0.03,8.03,12,0,10,2,3
80,80,52,0,13,0,6
64.43,64.43,45,1,10,2,1
120,120,67,0,10,0,1
24,24,30,0,16,8,3
5.53,5.53,14,1,26,2,1
30,30,51,1,10,7,1
2.13,2.13,42,0,17,0,1
30,30,42,0,13,0,1
2.43,2.43,42,0,17,0,1
36,36,51,1,10,8,1
40,40,47,0,13,8,4
200,200,30,1,10,8,5
470,470,39,0,10,0,1
87,87,47,0,10,7,3
8.02,8.02,70,0,17,0,2
,0,42,0,30,0,1
100,100,30,0,10,2,2
1.95,1.95,42,0,17,0,1
120,120,51,0,10,0,1
4.2,4.2,70,0,17,3,3
72,72,39,0,16,2,4
18,18,42,0,17,0,1
18,18,70,0,17,3,3
14,14,70,0,17,3,5
0.03,0.03,41,0,17,0,2
22,22,74,0,17,4,6
151,151,40,0,10,0,2
21,21,70,0,17,3,1
37,37,70,0,17,3,1
6,6,82,0,17,3,2
70,70,42,0,10,0,1
0.43,0.43,80,1,13,8,1
30,30,70,0,17,3,4
18,18,70,1,10,3,1
10,10,41,1,17,3,1
20,20,70,0,17,8,5
24,24,70,0,23,7,1
288,288,46,0,27,0,5
,0,70,0,17,3,4
18,18,70,0,17,3,4
96,96,12,0,10,8,6
24,24,39,1,16,8,1
0.03,0.03,42,0,17,0,1
235,235,61,0,27,0,1
120,120,29,0,13,8,5
,0,34,1,30,0,1
43,43,12,0,10,7,3
240,240,33,0,10,7,1
151,151,39,0,10,0,1
180,180,39,0,10,0,4
25,25,47,0,10,2,1
70,70,12,0,10,7,3
6.95,6.95,41,0,17,0,1
6,6,9,0,10,2,1
21,21,14,0,16,0,6
36,36,72,0,10,8,2
18,18,41,0,17,0,3
8,8,14,0,16,0,3
70,70,41,0,10,8,1
0.03,0.03,72,0,29,2,1
87,87,72,0,10,8,4
,0,72,0,16,2,1
57,57,72,0,10,8,1
33,33,4,0,13,0,2
20.3,20.3,41,0,6,8,3
51,51,78,0,13,7,5
80,80,25,0,7,8,3
0.03,0.03,10,0,17,0,2
12.03,24.03,41,0,10,8,1
54,54,65,0,13,0,6
52,52,25,0,10,8,1
27,27,41,0,17,0,4
120,120,41,0,10,0,2
30,30,41,0,17,3,3
192,192,51,0,26,8,2
87,87,42,1,16,0,6
8,8,82,0,17,3,3
76,76,25,0,10,8,1
,6,30,0,29,8,1
108,108,39,1,10,8,1
24,24,87,1,10,7,2
120,120,30,0,13,0,1
0.03,0.03,41,0,17,0,1
108,108,30,0,10,2,1
12.03,12.03,47,1,10,2,1
,0,42,0,17,0,1
0.03,0.03,2,0,10,2,1
152,152,39,0,10,2,3
180,180,9,0,7,8,1
39,39,46,0,13,6,4
11.24,11.24,70,0,4,7,3
24,24,70,0,10,3,1
4.57,4.57,70,0,17,0,2
51,51,30,0,10,8,1
0.03,0.03,72,1,10,2,6
43,43,41,0,10,7,3
0.03,0.03,41,0,16,0,1
0.26,0.26,5,0,10,8,2
225,225,56,0,26,0,1
150,150,47,0,10,7,3
,0,42,0,30,0,1
4.17,4.17,70,0,17,0,1
78,78,31,0,10,8,1
,0,42,0,17,0,1
38.39,38.39,4,0,10,4,3
18,18,74,0,15,2,1
66,66,31,0,10,8,1
18,18,56,0,10,8,1
18,18,41,0,17,3,4
33,33,47,0,10,7,1
37,37,65,0,13,8,5
0.23,12.23,31,0,10,2,3
0.03,0.03,70,0,17,0,1
14.88,14.88,70,0,4,7,3
48,48,81,0,3,7,4
7.1,7.1,84,0,17,3,1
20.56,20.56,40,0,13,8,3
51,51,88,0,26,7,5
0.03,0.03,17,1,21,2,2
96,96,33,0,26,0,4
37,37,39,0,13,0,6
240,240,33,0,7,0,2
57,57,56,0,10,8,1
144,144,34,0,10,7,3
12.03,12.03,84,0,17,3,2
60,60,33,0,13,0,4
28,28,89,0,13,8,3
96,96,47,0,10,0,5
2.56,2.56,42,0,17,0,2
190,190,34,0,10,2,4
18,18,47,0,10,7,1
108,108,20,0,10,0,3
2.13,2.13,41,0,17,0,2
14,14,42,0,10,8,1
0.03,0.03,4,0,30,0,1
0.03,0.03,4,0,30,0,1
24,24,17,0,17,0,3
6,6,41,0,17,8,2
4.85,4.85,41,0,17,8,1
54,54,4,0,10,0,1
50,50,5,0,10,2,2
,2,32,0,13,7,1
51,51,47,0,10,7,2
57,57,40,0,10,8,1
120,120,41,0,10,0,5
120,120,32,0,26,0,6
57,57,40,0,10,8,1
150,150,40,0,10,8,1
4.57,4.57,70,0,17,0,1
204,204,40,0,10,7,1
108,108,40,0,10,8,1
18,18,41,0,17,0,3
180,180,12,0,7,4,3
18,18,41,0,10,2,2
,0,83,0,21,8,1
18,18,41,0,17,8,3
13.03,13.03,70,0,17,3,4
48.36,48.36,20,0,13,2,5
7.69,7.69,83,0,25,7,5
14,14,41,1,17,3,3
450,450,41,0,26,0,5
43,43,47,0,10,2,2
8,8,41,0,17,0,2
,0,74,0,21,2,1
180,180,15,0,27,7,1
36,36,15,0,16,6,1
24,24,40,0,17,0,5
78,78,35,0,10,5,1
60,60,47,0,10,0,4
63,63,27,0,13,0,6
33,33,17,0,13,0,3
60,60,15,0,10,7,1
120,120,26,0,10,0,1
30,30,41,0,13,8,4
12.03,12.03,87,0,30,0,5
48,48,15,0,10,8,6
,0,41,1,17,3,1
51,51,80,0,27,7,2
12.03,12.03,41,0,17,8,2
24,24,41,0,17,0,4
63,63,41,0,13,0,2
30,30,88,0,13,0,3
13.03,13.03,70,0,17,3,4
51,51,14,0,10,0,2
100,100,82,0,4,0,6
58,58,6,0,10,8,3
12,12,14,0,17,0,2
0.03,0.03,6,0,17,8,1
0.03,0.03,6,0,17,0,1
18,18,70,0,23,7,1
114.43,114.43,41,0,17,0,2
2.07,2.07,42,0,17,0,1
0.03,0.03,6,0,17,8,1
18,18,31,1,10,8,1
36,36,41,0,16,2,1
48,48,88,0,10,7,4
138,138,10,0,22,7,6
4,4,43,1,21,7,1
12,12,70,0,17,8,3
30,30,2,0,4,7,3
30,30,31,0,10,8,1
24,24,41,0,21,2,1
120,120,64,0,10,0,5
27,27,65,0,13,0,2
3,3,43,1,10,2,1
60,60,65,0,13,0,6
10,10,31,0,17,0,3
,12,27,0,13,8,3
120,120,53,0,10,7,1
51,51,27,0,16,0,6
12,12,41,0,17,0,2
60,60,48,0,10,4,3
0.03,0.03,16,0,17,0,2
60,60,22,0,10,0,3
30,30,16,0,21,2,1
100,100,65,0,10,8,4
62,62,26,0,16,8,6
,0,58,1,16,0,1
174,174,52,0,26,0,3
72,72,30,0,7,8,1
,0,34,0,30,0,1
12.03,12.03,84,1,17,3,3
1.69,1.69,42,0,16,0,1
204,204,30,0,26,6,3
,0,34,0,30,0,1
21,21,54,1,13,0,2
15,15,70,0,10,3,1
8,8,85,0,16,0,2
6,6,25,1,13,7,1
18,18,85,0,5,4,1
114,114,87,0,10,7,6
27,27,13,0,13,2,1
3.75,3.75,70,0,17,0,1
12.03,12.03,84,0,17,4,2
30,30,84,0,17,3,4
,0,18,0,21,8,2
30,30,70,0,10,3,2
6,6,71,0,16,2,1
30,30,70,0,10,3,1
48,48,74,0,10,4,5
24,24,84,0,17,0,6
16.33,16.33,47,0,10,0,4
156,156,22,0,10,8,5
120,120,39,0,26,6,5
2.86,2.86,70,0,17,0,1
132,132,12,0,7,0,2
0.03,0.03,22,0,30,0,1
55,55,12,0,13,7,6
108,108,39,0,10,1,1
168,168,47,0,10,0,3
4.47,4.47,84,0,17,3,1
51,51,14,1,10,2,3
84,84,87,0,13,0,5
24,24,84,0,17,3,3
33,33,51,0,13,8,3
64,64,47,0,10,0,5
60,60,88,0,7,7,1
6,6,56,0,16,0,1
0.03,0.03,12,0,10,2,1
52,52,52,0,16,8,3
9,9,41,0,17,7,1
124,124,24,0,10,2,5
2.2,2.2,42,0,17,0,1
120,120,53,0,10,7,6
2.1,2.1,42,0,17,0,1
120,120,86,0,7,0,2
6,12,55,0,13,8,2
61,61,62,0,13,2,5
12.03,12.03,12,0,10,8,4
70,70,13,0,10,2,4
240,240,39,0,7,0,1
36,36,35,0,16,2,1
46,46,47,0,10,2,1
4.96,4.96,84,0,17,3,2
18,18,86,0,13,8,1
6,6,31,0,17,8,3
2.6,2.6,84,0,17,0,1
6,6,70,0,17,0,1
92,92,53,0,10,8,6
3.65,3.65,84,0,17,0,1
20,20,42,0,17,0,4
2.13,2.13,42,0,17,0,1
90,90,67,0,10,8,1
8,8,42,0,17,0,2
168,168,33,1,10,0,1
96,96,84,0,10,4,4
48,48,33,1,10,0,4
12.03,12.03,84,1,17,3,1
18,18,39,0,17,0,3
,0,46,0,16,8,3
,0,22,0,30,0,1
300,300,56,0,27,8,5
27,27,88,0,10,2,1
7.49,7.49,42,0,17,0,1
100,100,87,0,10,7,5
2.26,2.26,42,0,17,0,1
7.33,7.33,42,0,17,0,1
6.79,6.79,42,0,17,0,1
,0,41,1,17,0,1
18,18,33,1,13,0,2
6.82,6.82,42,0,17,0,1
,6,41,0,17,0,1
109,109,22,0,10,2,5
15,15,41,0,10,8,1
,0,41,0,17,8,1
7.46,7.46,42,0,17,0,1
156,156,41,0,10,2,2
6.36,6.36,42,0,17,0,1
22.89,22.89,20,0,10,2,1
0.03,0.03,42,0,17,0,1
0.03,0.03,11,0,10,7,2
70,70,67,0,10,8,1
5.76,5.76,42,0,17,0,1
6.1,6.1,42,0,17,0,1
84,84,47,0,10,7,1
7.89,7.89,42,0,17,0,1
6.92,6.92,42,0,17,0,1
7.62,7.62,42,0,17,0,1
6.41,6.41,41,0,17,5,2
2.33,2.33,42,0,17,0,1
18,18,56,1,10,7,1
10,10,42,0,17,0,3
24,24,34,0,13,0,2
60,60,42,0,10,8,4
37,37,4,0,13,8,1
37,37,4,0,13,8,1
7,7,41,0,10,8,4
7.39,7.39,42,0,17,0,1
100,100,67,0,7,8,1
144,144,22,0,10,8,2
51,51,34,0,16,0,1
5.91,5.91,70,0,17,3,3
0.07,0.07,71,0,10,7,1
136,136,42,0,10,0,4
120,120,4,0,10,7,1
14,14,70,1,17,8,2
48,48,70,0,13,3,3
117,117,36,0,10,6,6
27,27,41,0,13,8,3
262,262,42,0,10,0,5
110,110,36,0,10,0,2
30,30,67,0,27,0,1
1,1,0,0,7,7,1
18,18,0,0,21,7,1
147,147,56,1,26,0,2
60,60,66,0,10,8,1
24,24,41,0,17,8,4
85,85,89,0,10,7,6
85,85,76,0,10,5,6
0.03,0.03,10,0,17,0,1
168,168,72,0,10,8,2
5.09,17.09,74,0,17,3,6
,0,78,1,17,2,1
150,150,52,0,10,8,6
77,77,74,0,10,3,6
36,36,41,0,21,8,1
,0,41,0,17,8,1
24,24,74,0,10,3,2
144,144,4,0,10,7,1
120,120,27,0,19,0,4
180,180,41,0,21,0,1
72,72,65,0,10,2,1
97,97,26,0,7,1,1
108,108,4,0,10,7,1
30,30,41,0,16,2,1
15,15,36,0,25,0,5
120,120,27,1,10,7,4
210,210,65,1,27,2,1
60.03,60.03,84,0,10,4,6
24,24,54,0,10,2,1
180,180,26,0,10,8,1
18,18,83,0,17,5,4
0.03,0.03,31,0,17,0,1
84,84,15,0,10,7,1
8,8,31,0,17,6,1
90,90,31,0,10,7,1
174,174,41,0,10,0,4
,0,41,0,17,3,2
188,188,31,0,27,0,2
18,18,41,0,17,8,3
24,24,41,0,10,0,1
36,36,41,1,16,2,1
46,46,41,0,17,0,5
97,97,4,0,10,7,6
71,71,54,0,10,7,5
60,60,47,1,10,2,3
84,84,61,0,21,0,4
24,24,22,1,29,8,2
11.16,11.16,41,0,17,0,1
1.43,1.43,41,0,17,0,1
,0,82,0,4,7,1
21,21,41,0,17,0,3
12,12,41,0,17,0,1
10,10,16,1,10,7,1
7,7,41,0,17,0,2
120,120,61,0,10,8,6
57,57,34,0,13,8,4
10,10,32,0,17,0,2
15,15,70,1,17,3,3
12.03,12.03,70,0,17,0,3
60,60,88,0,10,7,6
30,30,88,0,13,0,6
6,6,41,0,17,0,3
36,36,61,0,10,8,2
48,48,68,0,10,0,2
15,15,31,0,30,6,1
10,10,42,0,17,0,3
0.03,0.03,70,0,17,0,1
2.53,2.53,42,0,17,0,1
10,10,42,0,17,0,1
7.53,7.53,42,0,17,0,1
7.16,7.16,42,0,17,0,1
6.44,6.44,70,1,17,3,4
87,87,27,0,10,8,5
100,100,27,0,13,0,6
48,48,70,0,10,3,2
27,27,2,0,16,7,1
60,60,1,0,21,2,1
,0,6,0,17,0,1
57,57,31,0,10,7,1
24,24,77,1,10,7,4
15,15,1,0,29,7,1
60,60,83,0,13,0,4
18,18,70,0,1,6,1
15,15,42,0,17,8,1
24,24,30,0,10,2,1
18,18,41,0,17,6,3
18,18,80,1,13,8,4
24,24,48,0,10,4,1
60,60,39,0,13,0,4
4.39,4.39,70,0,17,3,2
10,10,41,1,1,0,3
190,190,96,0,10,8,4
3.38,3.38,70,0,17,0,1
121,121,27,0,10,8,4
14,14,41,0,17,3,2
48,48,12,0,10,7,6
64,64,52,0,16,0,1
78,78,65,0,7,7,2
65,65,65,0,13,0,4
140,140,96,0,10,0,5
60,60,78,0,10,7,6
84,84,65,0,7,0,1
84,84,41,0,17,1,4
24,24,15,1,10,8,3
48,48,41,0,10,2,2
1200,1200,34,0,27,8,1
,0,27,1,16,8,1
3.88,3.88,70,0,17,0,2
0.03,0.03,12,0,13,7,4
11.83,11.83,52,0,16,8,2
21,21,52,0,10,8,1
30,30,41,0,17,0,1
24,24,25,0,13,0,4
36,36,25,0,13,8,3
24,24,45,0,13,8,6
36,36,80,0,7,7,1
42.89,42.89,12,0,10,2,1
24,24,15,0,28,0,1
12.03,12.03,12,0,10,8,1
28.62,28.62,3,0,10,8,1
65,65,87,0,13,0,1
110,110,65,0,10,0,6
57,57,31,0,10,7,1
5.65,5.65,84,0,17,2,4
360,360,39,0,27,0,1
180,180,39,0,22,0,2
137,137,87,0,13,0,6
57,57,12,0,13,0,4
180,180,86,0,10,8,1
4,4,39,0,16,0,1
114.76,114.76,39,0,10,0,3
120,120,87,0,10,0,1
21,21,87,0,13,0,3
41,41,82,0,13,7,5
,0,70,0,17,3,1
114,114,39,0,10,0,4
12.03,12.03,70,0,17,3,3
120,120,84,1,10,4,6
200,200,63,0,10,8,6
33.49,33.49,88,0,13,0,6
5,5,47,0,10,8,1
4.63,4.63,70,0,17,3,2
46,46,49,0,13,0,2
96,96,63,0,10,8,1
5.62,5.62,84,0,17,8,1
4.14,4.14,84,0,17,8,2
70,70,37,0,10,7,3
135,135,87,0,27,6,1
16,16,84,0,17,3,3
8,8,42,0,17,0,3
12.03,12.03,8,1,16,8,1
130,130,39,1,10,0,6
3.26,3.26,42,0,17,0,1
60,60,87,1,21,2,3
7.85,7.85,84,0,17,4,1
4.62,4.62,42,0,17,0,1
12.03,12.03,67,1,13,8,1
120,120,49,1,10,0,4
470,470,85,0,22,0,1
470,470,86,0,27,0,3
6,6,84,0,17,3,3
10,10,70,0,17,0,3
2.03,2.03,42,1,17,0,1
30,30,89,0,4,7,4
48,48,47,0,16,7,1
,0,42,0,17,0,1
2.53,2.53,42,0,17,0,1
36,36,67,0,13,7,6
36,36,67,0,13,0,3
12.03,12.03,79,1,10,2,1
46,46,42,0,13,0,1
80,80,31,0,10,8,6
100,100,41,0,10,2,5
2.03,2.03,42,1,17,0,1
46,46,47,0,13,8,3
2.59,2.59,42,0,17,0,1
,0,67,1,16,8,1
165,165,49,0,10,2,6
3.79,3.79,42,0,17,0,1
7.49,7.49,42,1,17,8,1
33,33,60,0,13,0,3
168,168,46,0,10,0,5
4.43,4.43,42,0,17,0,1
