=== BULK APPEAL OUTCOME CORRELATOR ===

Phases to run: 1
Dry run: false, Apply mode: false

=== PHASE 1: Stream Citation-Map → Build Citing Map ===

Target clusters (all with cluster_id): 6718
Dumped cluster metadata: 0 jurisdictions, 6718 years

  1.0M rows, 999999 citations found (4s)
  2.0M rows, 1999999 citations found (9s)
  3.0M rows, 2999999 citations found (15s)
  4.0M rows, 3999999 citations found (20s)
  5.0M rows, 4999999 citations found (25s)
  6.0M rows, 5999999 citations found (31s)
  7.0M rows, 6999999 citations found (36s)
  8.0M rows, 7999999 citations found (42s)
  9.0M rows, 8999999 citations found (49s)
  10.0M rows, 9999999 citations found (55s)
  11.0M rows, 10999999 citations found (61s)
  12.0M rows, 11999999 citations found (66s)
  13.0M rows, 12999999 citations found (71s)
  14.0M rows, 13999999 citations found (76s)
  15.0M rows, 14999999 citations found (82s)
  16.0M rows, 15999999 citations found (87s)
  17.0M rows, 16999999 citations found (92s)
  18.0M rows, 17999999 citations found (98s)
  19.0M rows, 18999999 citations found (104s)
  20.0M rows, 19999999 citations found (109s)
  21.0M rows, 20999999 citations found (115s)
  22.0M rows, 21999999 citations found (121s)
  23.0M rows, 22999999 citations found (127s)
  24.0M rows, 23999999 citations found (133s)
  25.0M rows, 24999999 citations found (139s)
  26.0M rows, 25999999 citations found (145s)
  27.0M rows, 26999999 citations found (151s)
  28.0M rows, 27999999 citations found (160s)
  29.0M rows, 28999999 citations found (166s)
  30.0M rows, 29999999 citations found (172s)
  31.0M rows, 30999999 citations found (185s)
  32.0M rows, 31999999 citations found (190s)
  33.0M rows, 32999999 citations found (196s)
  34.0M rows, 33999999 citations found (201s)
  35.0M rows, 34999999 citations found (207s)
  36.0M rows, 35999999 citations found (212s)
  37.0M rows, 36999999 citations found (218s)
  38.0M rows, 37999999 citations found (223s)
  39.0M rows, 38999999 citations found (228s)
  40.0M rows, 39999999 citations found (233s)
  41.0M rows, 40999999 citations found (238s)
  42.0M rows, 41999999 citations found (243s)
  43.0M rows, 42999999 citations found (246s)
  44.0M rows, 43999999 citations found (250s)
  45.0M rows, 44999999 citations found (254s)
  46.0M rows, 45999999 citations found (258s)
  47.0M rows, 46999999 citations found (262s)
  48.0M rows, 47999999 citations found (266s)
  49.0M rows, 48999999 citations found (270s)
  50.0M rows, 49999999 citations found (274s)
  51.0M rows, 50999999 citations found (278s)
  52.0M rows, 51999999 citations found (282s)
  53.0M rows, 52999999 citations found (285s)
  54.0M rows, 53999999 citations found (289s)
  55.0M rows, 54999999 citations found (301s)
  56.0M rows, 55999999 citations found (305s)
  57.0M rows, 56999999 citations found (309s)
  58.0M rows, 57999999 citations found (313s)
  59.0M rows, 58999999 citations found (317s)
  60.0M rows, 59999999 citations found (335s)
  61.0M rows, 60999999 citations found (341s)
  62.0M rows, 61999999 citations found (347s)
  63.0M rows, 62999999 citations found (352s)
  64.0M rows, 63999999 citations found (357s)
  65.0M rows, 64999999 citations found (362s)
  66.0M rows, 65999999 citations found (367s)
  67.0M rows, 66999999 citations found (373s)
  68.0M rows, 67999999 citations found (379s)
  69.0M rows, 68999999 citations found (385s)
  70.0M rows, 69999999 citations found (391s)
  71.0M rows, 70999999 citations found (397s)
  72.0M rows, 71999999 citations found (403s)
  73.0M rows, 72999999 citations found (410s)
  74.0M rows, 73999999 citations found (416s)
  75.0M rows, 74999999 citations found (443s)
  76.0M rows, 75999999 citations found (449s)

Stream complete: 76959991 rows in 7.6 min
Unique cited opinions: 4513529
Total citations: 76959991
FATAL: Invalid string length
