=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  5M lines, 20707 records, 4 matched, 148818 lines/sec (0.6 min)
  10M lines, 42331 records, 8 matched, 148608 lines/sec (1.1 min)
  15M lines, 62764 records, 13 matched, 147850 lines/sec (1.7 min)
  20M lines, 83179 records, 21 matched, 148766 lines/sec (2.2 min)
  25M lines, 101579 records, 30 matched, 154205 lines/sec (2.7 min)
  30M lines, 118340 records, 40 matched, 157965 lines/sec (3.2 min)
  35M lines, 135063 records, 51 matched, 163231 lines/sec (3.6 min)
  40M lines, 154510 records, 61 matched, 165908 lines/sec (4.0 min)
  45M lines, 174594 records, 66 matched, 165841 lines/sec (4.5 min)
  50M lines, 192273 records, 67 matched, 167796 lines/sec (5.0 min)
  55M lines, 208349 records, 70 matched, 170716 lines/sec (5.4 min)
  60M lines, 227812 records, 75 matched, 170535 lines/sec (5.9 min)
  65M lines, 249475 records, 77 matched, 169025 lines/sec (6.4 min)
  70M lines, 263449 records, 79 matched, 170990 lines/sec (6.8 min)
  75M lines, 276918 records, 82 matched, 174374 lines/sec (7.2 min)
  80M lines, 292055 records, 86 matched, 177264 lines/sec (7.5 min)
  85M lines, 309600 records, 93 matched, 177498 lines/sec (8.0 min)
  90M lines, 323432 records, 96 matched, 178384 lines/sec (8.4 min)
  95M lines, 340912 records, 101 matched, 177925 lines/sec (8.9 min)
  100M lines, 355273 records, 104 matched, 177920 lines/sec (9.4 min)
  105M lines, 373834 records, 107 matched, 176908 lines/sec (9.9 min)
  110M lines, 394920 records, 112 matched, 176298 lines/sec (10.4 min)
  115M lines, 413418 records, 117 matched, 173478 lines/sec (11.0 min)
  120M lines, 434975 records, 126 matched, 170684 lines/sec (11.7 min)
  125M lines, 449159 records, 129 matched, 171473 lines/sec (12.1 min)
  130M lines, 463410 records, 130 matched, 172000 lines/sec (12.6 min)
  135M lines, 476283 records, 144 matched, 173308 lines/sec (13.0 min)
  140M lines, 491356 records, 146 matched, 174163 lines/sec (13.4 min)
  145M lines, 504320 records, 150 matched, 175993 lines/sec (13.7 min)
