=== INAA Legal Research — All-State Verification ===
CourtListener: token found
Mode: LIVE

1402 statutes to verify


--- ND ---
  [1/1402] criminal-threat: LOW (0.15)
  [2/1402] disorderly-conduct: LOW (0.15)
  [3/1402] domestic-battery: LOW (0.15)
  [4/1402] domestic-violence: LOW (0.15)
  [5/1402] driving-on-suspended: LOW (0.15)
  [6/1402] drug-distribution: LOW (0.15)
  [7/1402] drug-manufacturing: LOW (0.15)
  [8/1402] drug-paraphernalia: LOW (0.15)
  [9/1402] drug-possession: LOW (0.15)
  [10/1402] drug-possession-cocaine: LOW (0.15)
  [11/1402] drug-possession-marijuana: LOW (0.15)
  [12/1402] drug-possession-meth: LOW (0.15)
  [13/1402] drug-possession-with-intent: LOW (0.15)
  [14/1402] drug-trafficking: LOW (0.15)
  [15/1402] dui-drugs: LOW (0.15)
  [16/1402] dui-dwi: LOW (0.15)
  [17/1402] dui-first-offense: LOW (0.15)
  [18/1402] dui-repeat-offense: LOW (0.15)
  [19/1402] elder-abuse: LOW (0.15)
  [20/1402] embezzlement: LOW (0.15)
  [21/1402] escape-custody: LOW (0.15)
  [22/1402] failure-to-appear: LOW (0.15)
  [23/1402] failure-to-register: LOW (0.15)
  [24/1402] false-report: LOW (0.15)
  [25/1402] felon-in-possession: LOW (0.15)
  [26/1402] fleeing-eluding: LOW (0.15)
  [27/1402] forgery: LOW (0.15)
  [28/1402] fraud-general: LOW (0.15)
  [29/1402] grand-theft: LOW (0.15)
  [30/1402] harassment: LOW (0.15)
  [31/1402] hit-and-run: LOW (0.15)
  [32/1402] identity-theft: LOW (0.15)
  [33/1402] illegal-discharge: LOW (0.15)
  [34/1402] indecent-exposure: LOW (0.15)
  [35/1402] insurance-fraud: LOW (0.15)
  [36/1402] involuntary-manslaughter: LOW (0.15)
  [37/1402] kidnapping: LOW (0.15)
  [38/1402] money-laundering: LOW (0.15)
  [39/1402] motor-vehicle-theft: LOW (0.15)
  [40/1402] murder-first-degree: LOW (0.15)
  [41/1402] murder-second-degree: LOW (0.15)
  [42/1402] obstruction-justice: LOW (0.15)
  [43/1402] parole-violation: LOW (0.15)
  [44/1402] perjury: LOW (0.15)
  [45/1402] petty-theft: LOW (0.15)
  [46/1402] probation-violation: LOW (0.15)
  [47/1402] public-intoxication: LOW (0.15)
  [48/1402] rape: LOW (0.15)
  [49/1402] receiving-stolen-property: LOW (0.15)
  [50/1402] reckless-driving: LOW (0.15)
  [51/1402] residential-burglary: LOW (0.15)
  [52/1402] resisting-arrest: LOW (0.15)
  [53/1402] robbery: LOW (0.15)
  [54/1402] sexual-assault: LOW (0.15)
  [55/1402] shoplifting: LOW (0.15)
  [56/1402] simple-assault: LOW (0.15)
  [57/1402] solicitation-prostitution: LOW (0.15)
  [58/1402] stalking: LOW (0.15)
  [59/1402] statutory-rape: LOW (0.15)
  [60/1402] theft-larceny: LOW (0.15)
  [61/1402] trespassing: LOW (0.15)
  [62/1402] vandalism: LOW (0.15)
  [63/1402] vehicular-homicide: LOW (0.15)
  [64/1402] vehicular-manslaughter: LOW (0.15)
  [65/1402] violation-protective-order: LOW (0.15)
  [66/1402] voluntary-manslaughter: LOW (0.15)
